query_size,query_idx,tau,payload_size,correct
3.0,0,0.0,603,1
3.0,1,0.0,530,1
3.0,2,0.0,908,1
3.0,3,0.0,1007,1
3.0,4,0.0,674,1
3.0,5,0.0,681,1
3.0,6,0.0,586,1
3.0,7,0.0,573,1
3.0,8,0.0,346,1
3.0,9,0.0,410,1
3.0,10,0.0,541,1
3.0,11,0.0,868,1
3.0,12,0.0,795,1
3.0,13,0.0,926,1
3.0,14,0.0,666,1
3.0,15,0.0,899,1
3.0,16,0.0,455,1
3.0,17,0.0,589,1
3.0,18,0.0,566,1
3.0,19,0.0,547,1
3.0,20,0.0,798,1
3.0,21,0.0,868,1
3.0,22,0.0,813,1
3.0,23,0.0,821,1
3.0,24,0.0,535,1
3.0,25,0.0,263,1
3.0,26,0.0,540,1
3.0,27,0.0,644,1
3.0,28,0.0,575,1
3.0,29,0.0,1035,1
3.0,30,0.0,975,1
3.0,31,0.0,657,1
3.0,32,0.0,602,1
3.0,33,0.0,499,1
3.0,34,0.0,983,1
3.0,35,0.0,698,1
3.0,36,0.0,699,1
3.0,37,0.0,972,1
3.0,38,0.0,1070,1
3.0,39,0.0,938,1
3.0,0,0.1,603,1
3.0,1,0.1,530,1
3.0,2,0.1,908,1
3.0,3,0.1,1007,1
3.0,4,0.1,674,1
3.0,5,0.1,681,1
3.0,6,0.1,586,1
3.0,7,0.1,573,1
3.0,8,0.1,346,1
3.0,9,0.1,410,1
3.0,10,0.1,541,1
3.0,11,0.1,868,1
3.0,12,0.1,795,1
3.0,13,0.1,926,1
3.0,14,0.1,666,1
3.0,15,0.1,899,1
3.0,16,0.1,455,1
3.0,17,0.1,589,1
3.0,18,0.1,566,1
3.0,19,0.1,547,1
3.0,20,0.1,798,1
3.0,21,0.1,868,1
3.0,22,0.1,813,1
3.0,23,0.1,821,1
3.0,24,0.1,535,1
3.0,25,0.1,263,1
3.0,26,0.1,540,1
3.0,27,0.1,644,1
3.0,28,0.1,575,1
3.0,29,0.1,1035,1
3.0,30,0.1,975,1
3.0,31,0.1,657,1
3.0,32,0.1,602,1
3.0,33,0.1,499,1
3.0,34,0.1,983,1
3.0,35,0.1,698,1
3.0,36,0.1,699,1
3.0,37,0.1,972,1
3.0,38,0.1,1070,1
3.0,39,0.1,938,1
